,news,catagory
204,"Finfinnee, Muddee 21, 2012 (FBC) – Wixinee labsii eksaayiz taaksii haaraa fooyyahee bahe irratti hubannoo dabalataa uumuuf mariin paanaalii Hooteela Iskaay Laayitiitti gaggeeffamaa jira.

Marii kana Ministeerri Galiiwwaanii fi Ministeerri Mallaqqaa waltahiinsan kan qopheessan yoo tahu, wixinicha ilaalchsee yaada dabalataa walitti qabuu fi dhimmicha irratti iftoomina uumuuf akka tahe ibsameera.

Ministirri Galiiwwanii aadde Adaanach Abeebee maricharratti argamuun ibsa laataniin, marichi dhimmoota iftoomina barbaadan irratti iftoomina uumuu fi yaada galtee dabalataa walitti qabuuf marii qophaahe tahuu ibsaniiru.

Mootummaan haala sassaabbii galii ammayyaa fi fooyyahaa tahe taasiisuuf tarkaanfiiwwan garaa garaa fudhachaa turuu kan eeran aadde Adaanach, hojii hojjetameen haalli sassaabbii galii fooyyahuu fi seerri mirkanaahaa jiraachuu dubbataniiru.

Hawaasa daldalaaf tajaajila sihataa fi yeroo isaa eeggate laachuu irratti jalqabbiin jiru abdii kan nammatti horuudha jedhan.

Wixineen labsii taksii dabalata galii fooyyahee bahe kunis sassaabbii galii fooyyeessuun hawaasni hunda walqixa fayyadamoo akka tahan kan mirkaneessudha jedhan aadde Adaanich.

Fooyyahiinsi kun buhura taaksii babalhisuu fi irra deddeebii taaksii hambiisuun daldala alaa dorgomaa taasiisuu keessatti shoora olaanaa akka qabu ibsaniiru.

Biyyootni Afrikaa Sahaaraa gaditti argaman gosa taaksii kana irraa %1.4 galii kan argatan yoo tahu, Ityoophiyaan oomisha walii galaa irraa %0.7 qofa galii walitti qabuun sadarkaa gadi aanaa irratti argamti jedhameera.

Marii panaalii kana irrattis bakka buutonni hawaasa daldalaa, miidiyaalee fi qooda fudhattoonni hirmaachaa akka jiran ragaan Ministeera Galiiwwaniirraa argame ni mulhisa.",economics
205,"Waliin gahiinsa gabaa kuduraa fi muduraa babaldhisuuf hojjetama jira

Finfinnee, Muddee 20, 2012 (FBC) - Waliin gahiinsa gabaa kuduraa fi muduraa babaldhisuuf hojjetama jirachuu Eejensiin Hojii Gamtaa Federalaa beeksise.

Waltajjiin waldaan hojii gamtaa biyyoolessaa oomisha walitti hidhamiinsa gabaa kuduraa fi muduraa guyya harha magaalaa Adaamaatti eegalameera.

Bakka buhaan daayreektara olaanaa eejensichaa obboo Darreboo Buuseer, fedhii hawaasni kuduraa fi muduraa irratti qabu fooyyeessuun waliin gahiinsa gabaa ol giddisuun dhimma murteessadha jedhan.

Fedhiin gabaa biyya keessaa olaanaa tahuu, humna namaa oomishuuf haallii mijataan jiraatus damicha irratti waldaaleen gurmaahan fedhii hawaasaa guutuu irratti hanqinni jiraachuu dubbataniiru.

Baajata bara kanaatin kuntaala kuma 50 ol kuduraa fi muduraalee garaagaraa qonnaan bulaa irraa gatii madaalawaa taheen gabaa biyya keessatiif dhiyeessuuf karoorsuu himaniiru",economics
206,"Gabaan Oomisha Ityoophiyaa baatii Muddeetti oomishoota toonii kuma dhibba 1 fi kuma 1 fi 948 gatii Birrii biiliyoona 5.12 qaban wal bichisiise.

Gabaan Oomisha Ityoophiyaa oomisha akka saliixii, buna, boloqqee adii fi diimaa tooniin walbichisiisu dandaheera.

Baatii kana bittaaf kan dhiyaate saalixii toonii kuma 52 fi 598 Birrii biiliyoona 2.24 walbichisiisera.

Kan bara darbee waliin walbira yoo qabamu %34 calmaa agarsiisera.

Haaluma walfakkaatun boloqqee adiin toonii kuma 8 fi 565 Birrii miiliyoona dhibba 1 fi miiliyoona 76 yoo walbichisiisu, maashoo adii ammoo toonii 100 Birrii miiliyoona dhibba 2 fi miiliyoona 70 walbichisiisera.

Bunni tooniin kuma 30 fi 416 Birrii biiliyoona 2.47tti kan gurgurame yoo tahu, kan bara darbee waliin walbira yoo qabamu %10 caalmaa agarsiisera.

Gama biraatiin atarri toonii kuma 1 fi 876 gabaaf dhiyaasee Birrii miiliyoona 22 walbichisiisera.",economics
207," Duulli misooma suluulaa bara kaanaa akka naannoo Oromiyaatti hirmaannaa hawaasaatin godina Harargee Lixaa aanaa Gubbaa Qorichaa araddaa Ulaagaatti eegalame.

Duula misooma suluulaa bara kanaas hogganaan Biiroo Qonnaa Oromiyaa obbo Dhaabaa Dabalee kan jalqabsiisan yoo ta'u, hoggantoonni misooma baadiyyaa sadarkaa naannoo fi godinaa irratti argamuun hawaasa jajjabeessaniiru.

Hojiin misooma suluulaa erga jalqabamee haalli qilleensaa mijataa uumamuun, jiruu fi jireenya isaanii ittiin fooyyeffachaa akka jiran qonnaan bultoonni aanichaa ibsaniiru.

Duulli misooma suluulaa kun godinuma kana aanaa Abroottis guyyaa har'aa itti fufee kan gaggeeffamu yoo ta'u, guyyaa boorii godina Harargee Bahaattis itti fufee kan gaggeeffamu ta'uu ragaan waajjira Biiroo Qonnaa Oromiyaa ni muldhisa.",economics
208,"Waliin gahiinsa gabaa kuduraa fi muduraa babaldhisuuf hojjetama jirachuu Eejensiin Hojii Gamtaa Federalaa beeksise.

Waltajjiin waldaan hojii gamtaa biyyoolessaa oomisha walitti hidhamiinsa gabaa kuduraa fi muduraa guyya harha magaalaa Adaamaatti eegalameera.

Bakka buhaan daayreektara olaanaa eejensichaa obboo Darreboo Buuseer, fedhii hawaasni kuduraa fi muduraa irratti qabu fooyyeessuun waliin gahiinsa gabaa ol giddisuun dhimma murteessadha jedhan.

Fedhiin gabaa biyya keessaa olaanaa tahuu, humna namaa oomishuuf haallii mijataan jiraatus damicha irratti waldaaleen gurmaahan fedhii hawaasaa guutuu irratti hanqinni jiraachuu dubbataniiru.

Baajata bara kanaatin kuntaala kuma 50 ol kuduraa fi muduraalee garaagaraa qonnaan bulaa irraa gatii madaalawaa taheen gabaa biyya keessatiif dhiyeessuuf karoorsuu himaniiru",economics
209,"Ityoophiyaan investimentii alaa ofitti hawwachuun Baha Afrikaarraa adda duree taate. Ityoophiyaan investimentii alaa ofitti hawwachuun Baha Afrikaarraa adda duree akka taate, dhaabbanni gorsaa faayinaansi EY jedhamu gabaasa bara Faranjoota 2019 beeksise.

Ityoophiyaan investimentii alaa ofitti hawwachuun naannicharraa sadarkaa 2ffaarraa kan teesse Keeniyaa dacha sadiin caaluun adda duree taatetti jedha gabaasichi.

Dhaabbanni gorsaa faayinaansi EY akka beeksisetti Ityoophiyaan investimentii alaarraa Doolaara biiliyoona 7.17 ofitti hawachuu kan dandeesse yoo tahu Keeniyaan ammoo Doolaara biiliyoona 2.04 ofitti hawwachuu dandeessetti.

Biyyoota lamaanitti aanuun Taanzaaniyaan Doolaara biiliyoona 1.02 investimenti alaa ofitti hawwachuu dandeessetti.

Gabaasichi sanada investimenti alaa Ruwaandaa fi Yuugaandaa akka hin haammanne ibseera.

Ogeessi odiiti gorsaa faayinaansi EY Firaansiis Kamaahuu akka himetti Ityoophiyaa dhiyeessi elektirikii fi tajaajiila daandii qilleensaa gahaa tahe dhiyeessuun biyyoota biroorraa addatti dorgomaaishee taasiseera jedha.

Gabaasichi dabalataan biyyattiin gabaa biyyaa keessa balhaa tahee fi diinagdee adda tahe dhiyeessuun filaannoo biraa uumeera jedha.",economics
210,"Koorporeeshiniin Misooma Indaastirii Paarkiiwwanii rakkoolee kaffaltii humna elektiriikin walqabatee jiru furaa jiraachuu beeksise.

Paarkiiwwan indaastirii hojii eegalan keessaa Paarkii Indaastirii Hawaasaan ala hundi hanqina dhiyeessa humna elektirikii qabaachuun dubbatameera.

Koorporeeshiniin Misooma Indaastirii Paarkiiwwanii humna elektiriikii dabalatee buhuuraalee misoomaa biroo guutuuf dirqama qaba.

Koorporeeshinichi kaffaltii tajaajila elektiriikaa yeroon kaffaluu dhabuun dhiyeessiin humna elektirikaa Paarkiiwwan Indaastiriif rakkoo guddaa tahaa jira.

Hoji raawwachiiftuu olaantuun Koorporeeshinii Misooma Indaastirii Paarkiiwanii Lalisee Namiin akka jedhanitti dhiyeessiin humnaa misooma Indaastirii Paarkiiwwaniif hanqina ijooo tahuu ibsuun, yeroo ammaa rakkichi furmaata argataa jira jedhaniiru.

Hanqina dhiyeessii kanaaf furmaata hataattamaa laachuuf mootummaa Chaayinaa waliin waliigalteen mallattaahuu ibsaniiru.

Dabalataan Paarkiiwwan Indaastirii mataa isaaniin humna dhiyeeffachuu akka dandahaniif kallattiin kaahameen paarkiiwwan filataman tokko tokko qorannoo gaggeessaa jiraachuu aadde Laliseen ibsaniiru.

Haaluma kanaan qorannoon humna aduu, qilleensaa fi hurkaa gaggeeffamaa kan jiru yoo tahu, dameen dhuunfaa humna aduu irratti hojjechuuf fedhii olaanaa kan qaban tahuu hubatamee jira jedhan.

Buhuruma qorannootiin hojicha gochaatti hiikuuf imaammata fooyyeessuu fi qorannoon buhaa qabeessummaa hojjetamaa jiraachuu ibsameera.

Qorannoon gaggeeffamaa jirus yeroo dhiyootti xumuramuun gara hojiitti akka galamu ni eeggama.",economics
211,"Waltajjiin marii Sosochii misooma bunaa ogeeyyii godinaalee fi aanaalee bunni keessatti oomishamaa jiru hirmaachise gaggeeffamaa jira.

Hudhaawwan oomishtummaa, qulqullinaa fi gabaa bunaarratti jiru furuun qonnaan bultoonni buna oomishan irraa fayyadamoo akka tahaniif mootummaan naannoo Oromiyaa xiyyeeffannoo olaanaan hojjechaa jiraachuu himameera.

Oomishaa fi oomishtummaa bunaa dabaluuf hojiin buna dulloomaa gamashuu xiyyeeffannoo guddaan hojjetamaa jira jedhameera.

Oomishaalee qonnaa al-ergii irraa galii argame keessaa bunni % 43 tahuus ibsameera.

Waggaatti bunarraa galii Dooolaara miiliyoona dhibba 8 fi miiliyoona 38 argame keessaa qonnaan bulaan Doolaara miiliyoona dhibba 5 fi miiliyoona 3 qofa argachuu isaa dubbatameera.
Rakkoo kana furuuf qonnaan bulaan oomisha bunaa kallattiin akka dhiyeeffatuuf hojjetamaa jira.

Ityoophiyaa keessatti qonnaan bultoonni miiliyoonni 2.2 buna oomishuu irratti bobbahanii argamu jedhameera.
Kanaanis Addunyaa irraa sadarkaa 1ffaa irratti argamti.

Baayyhina oomishaan addunyaa irraa 6ffaa, Afrikaa irraa 1ffaa irratti argamti.

Ityoophiyaan buna gara alaatti erguun Addunyaa irraa sadarkaa 8ffaa, Afrikaarraa sadarkaa 2ffaa qabattee jirti.

Bara 2010 keessa buna kg miiliyoona dhibba 2 fi miiliyoona 39 gara alaatti ergame irraa galiin Doolaarri miiliyoonni dhibbi 8 fi miiliyoonni 40 argamuu ragaan ni mulhisa.

Sadarkaan qulqullina oomisha bunaa gadi aanaa tahuu isaatiin qonnaan bulaa fi dhiyeessitoonni buhaa barbaaddamu hin arganne jedhan itti aanaa Hogganaan Biiroo Qonnaa fi Qabeenyaa Uummamaa Oromiyaa fi itti gaafatamaan damee misooma bunaa obbo Mammedsaanii Ibraahim.

Buna bara 2011 akka biyyaatti oomishame toonii kuma tokko keessaa tooniin 495 alatti ergamee jira.

Naannoon Oromiyaa toonii 344 oomishuun sadarkaa 1ffaarratti argamti.

Ityoophiyaan biyyoota addunyaa 50 buna oomishan keessaa ishee tokkoo fi bakka argama bunaati.
",economics
212,"Magaalaa Finfinneetti warshaan guyyaatti zayitaa liitira kuma dhibba 6 oomishuu dandahu ijaarramuufi.

Ijaarsi warshichaa zayita Ityoophiyaan alaa galchitu %25 hirhisuu dandeessisa jedhameera.

Warshaan zayitaa dhaabbata Hooraayzan Plaanteeshiniin bulfamu kun, baasii Birrii biiliyoona afuriin Boolee Sammiititti ijaarrama.

Sirna ijaarsa jalqabsiisuu warshichaarratti itti aanaa kantiibaa magaalaa Finfinnee Injiinar Taakkalaa Uumaa fi aangahoonni biroo argamaniiru.
",economics
213,"Muummee ministiraa Dooktar Abiy Ahimad ijaarsa daandii aspaaltii Marawwaa -Somooddoo -Saqqaa – Simooddoo – Limmuu jalqabsiisan.
 
Dooktar Abiy Ahimad harha ganama godina Jimmaa aanaa Limmuu Kossaa galaniiru.
 
Saganticharratti itti aanaan preezdaantii mootummaa naannoo Oromiyaa obbo Shimallis Abdiisaa, ministirri Ministeera Geejibaa aadde Daagmaawiit Moogas, qondaaltonni federaalaa fi naannoo Oromiyaa argamaniiru.
 
Ijaarsi daandichaa Birrii biiliyoona 2 oliin, waggaa 4 keessatti hojjetamee xumurama jedhameera.
 
Daandichi kiilo meetira 94 kan uwwisu yammuu tahu, baasii ijaarsa daandichaa mootummaa Ityoophiyaatu dandaha.
 
Hojii ijaarsa daandii kanaa koontiraata kan fudhate dhaabbata Chaayinaa TuCJu Injinariing Gruup jedhamudha.
 
Hwaayit Naayit Koonistiraakshin Maanaajimant hojii tohannaasaa ni hojjeta.
 
Daandichi Masaraa Abbaa Jifaar cinaa kan darbu yoo tahu, hawwata tuuriizimii jajjabeessuu fi daawwattootaf haala mijataa uumuu keessatti qooda ni qabaatan itti abdatameera.
 
Dabalataan dhaabbileen indaastirii geejibaaf daandii gahaa akka argatanii fi qonnaan bultoonnis oomisha isaanii salphaan gabaadhan akka gahatan ni gargaara.
 
Daandin kun waggoota 45 ol tajaajileera.
",economics
214," Abbaan Taayitaa Galiiwwanii Oromiyaa bara baajataa 2012tti Birrii biiliyoona 22 walitti qabuuf karoorsee, baatii shan keessatti Birri biiliyoona 10 walitti qabuu beeksise.

Baajata bara darbee waliin wal bira yoo qabame ilaalamu Birrii miiliyoona 1.9 caalmaa akka qabu ibsameera.

Naannichatti baatii shan keessatti kaffaltoonni gibiraa tokko tokko nagahee gurgurtaa meeshaa kennuuf eeyyamamoo miti jedhameera.

Kaffaltoota gibiraaf hojii hubannoo uumuun kan hojjetame yammuu tahu, tarkaanfiinis fudhatamuu Abbaa Taayitaa Galiiwwanii Oromiyaa beeksiseera.

Biirichatti daayreektarri barnootaa fi koominikeeshinii obbo Lammeessaa Ayyalaan akka jedhanitti, kenniinsa tajaajila ammayaahaa laachuuf hojjetamaa jira.
",economics
215,"Ijaarsi daandii aspaaltii Waraabee Boozhabar (Waraabee- Kutarree – Qaawwaa – Qottoo – Boozhabar) eegalame.
 
Ijaarsi daandichaa kiilo meetira 40.5 kan uwwisu yammuu tahu, harha bakka itti aanaan preezdaantii mootummaa naannoo Kibbaa obbo Ristuu Yirdaaw, ministirri Nageenyaa aadde Mufariyaat Kaamiil, ministirri Geejibaa aadde Daagmaawiit Moogasii fi daayreektarri olaanaa Abbaa Taayitaa Daandiiwwanii Ityoophiyaa Injiinar Haabtaamuu Taganyifaan argamanitti jalqabsiifameera.
 
Daandichaaf baajatni Birrii miiliyoona dhibbi 7 fi miiliyoona 95 qabameera.
 
Daandin kun magaalota godinaatti balhina meetira 21.5, gandootatti ammoo balhina meetira 12 qabaata.
 
Ijaarsi daandichaa waggaa lamaan dura hanqina humnaa dhaabbata ijaarsaa biyya keessatiin adda cituun isaa ni yaadatama.
",economics
